11  22  -26.3102
11  23  -29.0311
11  24  -33.4427
11  25  -49.7394
12  1  23.7365
12  2  8.98933
12  3  7.81835
12  4  8.5378
12  5  -4.05286
12  6  -5.72319
12  7  -7.12494
12  8  -8.35459
12  9  -9.47303
12  10  -10.5237
12  11  -11.5392
12  12  -12.545
12  13  -13.5613
12  14  -14.6042
12  15  -15.6876
12  16  -16.8248
12  17  -18.0308
12  18  -19.3262
12  19  -20.741
12  20  -22.3227
12  21  -24.1536
12  22  -26.3886
12  23  -29.3744
12  24  -34.1849
12  25  -51.7492
13  1  24.7181
13  2  8.44384
13  3  6.50719
13  4  6.55835
13  5  -2.49826
13  6  -4.25788
13  7  -5.73572
13  8  -7.03475
13  9  -8.22113
13  10  -9.34168
13  11  -10.4311
13  12  -11.5166
13  13  -12.6188
13  14  -13.754
13  15  -14.9354
13  16  -16.1761
13  17  -17.4908
13  18  -18.9006
13  19  -20.4363
13  20  -22.1491
13  21  -24.1258
13  22  -26.5313
13  23  -29.7344
13  24  -34.8754
13  25  -53.5028
14  1  25.7878
14  2  8.11357
14  3  5.49036
14  4  4.94454
14  5  5.03725
14  6  -2.99585
14  7  -4.55024
14  8  -5.91947
14  9  -7.1735
14  10  -8.36229
14  11  -9.52277
14  12  -10.6834
14  13  -11.8653
14  14  -13.0848
14  15  -14.3552
14  16  -15.689
14  17  -17.1014
14  18  -18.6137
14  19  -20.2587
14  20  -22.09
14  21  -24.1993
14  22  -26.761
14  23  -30.1645
14  24  -35.6126
14  25  -55.2351
15  1  26.9001
15  2  7.92905
15  3  4.68664
15  4  3.60688
15  5  3.19876
15  6  -1.92612
15  7  -3.55722
15  8  -4.99623
15  9  -6.31726
15  10  -7.57268
15  11  -8.80181
15  12  -10.0337
15  13  -11.2905
15  14  -12.5885
15  15  -13.9409
15  16  -15.3603
15  17  -16.8624
15  18  -18.4689
15  19  -20.2145
15  20  -22.1552
15  21  -24.3875
15  22  -27.0951
15  23  -30.6868
15  24  -36.4245
15  25  -56.9907
16  1  28.0315
16  2  7.81977
16  3  4.00114
16  4  2.42936
16  5  1.56148
16  6  -1.02693
16  7  -2.73607
16  8  -4.24581
16  9  -5.6344
16  10  -6.95654
16  11  -8.25338
16  12  -9.55533
16  13  -10.8846
16  14  -12.2581
16  15  -13.689
16  16  -15.1903
16  17  -16.7777
16  18  -18.4741
16  19  -20.316
16  20  -22.3616
16  21  -24.7127
16  22  -27.5612
16  23  -31.3355
16  24  -37.3555
16  25  -58.8453
17  1  29.0231
17  2  7.73871
